kmetstvo,name,center,document,category
HKV33-18,Рогозиново,62832,1896,
HKV33-19,Славяново,67101,2,
HKV33-20,Смирненци,67581,1896,
HKV33-21,Черепово,80552,1896,
HKV33-23,Шишманово,83377,660,
HKV34-01,Александрово,00326,1896,
HKV34-02,Брягово,06759,2,
HKV34-03,Войводово,11867,2,
HKV34-04,Въгларово,12382,2,
HKV34-05,Гарваново,14550,2,
HKV34-06,Големанци,15429,2,
HKV34-07,Горно Войводино,16729,1896,
HKV34-08,Гълъбец,18232,660,
HKV34-09,Динево,21155,2,
HKV34-10,Долно Войводино,22589,1896,
HKV34-11,Долно Големанци,24949,2,
HKV34-12,Елена,27200,2,
HKV34-13,Зорница,31365,660,
HKV34-14,Клокотница,37321,2,
HKV34-15,Книжовник,37383,2,
HKV34-16,Козлец,37770,2,
HKV34-17,Конуш,38399,2,
HKV34-18,Корен,38580,660,
HKV34-19,Криво поле,39863,2,
HKV34-21,Малево,46293,2,
HKV34-22,Манастир,46992,1896,
HKV34-23,Мандра,47055,660,
HKV34-24,Маслиново,47442,660,
HKV34-25,Николово,51682,1896,
HKV34-26,Нова Надежда,51891,2,
HKV34-27,Орлово,53936,2,
HKV34-28,Подкрепа,57042,1896,
HKV34-29,Родопи,62880,1896,
HKV34-30,Стамболийски,68692,2,
HKV34-31,Стойково,69359,1896,
HKV34-32,Текето,72182,660,
HKV34-33,Тракиец,72953,2,
HKV34-34,Узунджово,75085,2,
HKV34-35,Широка поляна,83288,660,
JAM03-01,Воден,11658,1896,
JAM03-03,Голямо Крушево,15881,1896,
JAM03-10,Малко Шарково,46704,1896,
JAM03-11,Мамарчево,46958,2,
JAM03-13,Попово,57652,1896,
JAM03-16,Стефан Караджово,69208,2,
JAM03-18,Шарково,83051,1896,
JAM07-02,Бояново,06001,2,
JAM07-05,Гранитово,17748,2,
JAM07-08,Изгрев,32576,2,
JAM07-11,Лесово,43459,2,
JAM07-12,Маломирово,46797,2,
JAM07-13,Малък манастир,46904,2,
JAM07-14,Мелница,47768,2,
JAM07-15,Пчела,58801,2,
JAM07-16,Кирилово,36909,1896,
JAM07-17,Раздел,61738,1896,
JAM07-18,Жребино,29516,1896,
JAM07-19,Трънково,73328,1896,
JAM22-01,Александрово,00343,1896,
JAM22-02,Атолово,00816,1896,
JAM22-04,Воденичане,11661,2,
JAM22-05,Войника,11908,2,
JAM22-07,Зимница,30898,2,
JAM22-09,Иречеково,32771,2,
JAM22-10,Каменец,35794,2,
JAM22-12,Лозенец,44118,2,
JAM22-13,Люлин,44666,1896,
JAM22-16,Палаузово,55244,1896,
JAM22-19,Първенец,59046,1896,
JAM22-20,Маленово,46303,1896,
JAM22-21,Джинот,20804,1896,
JAM22-22,Недялско,51384,1896,
JAM22-23,Поляна,57409,1896,
JAM22-24,Тамарино,72076,1896,
JAM22-25,Чарда,80220,1896,
JAM25-02,Безмер,03229,2,
JAM25-04,Ботево,05863,2,
JAM25-05,Бояджик,05952,2,
JAM25-06,Веселиново,10776,2,
JAM25-07,Генерал Тошево,14725,1896,
JAM25-08,Голям манастир,15789,2,
JAM25-09,Гълъбинци,18259,1896,
JAM25-10,Дражево,23501,2,
JAM25-13,Завой,30096,2,
JAM25-14,Златари,30956,1896,
JAM25-15,Генерал Инзово,32740,1486,
JAM25-16,Кабиле,35028,2,
JAM25-17,Калчево,35609,2,
JAM25-21,Крумово,40018,2,
JAM25-22,Кукорево,40484,2,
JAM25-23,Маломир,46783,2,
JAM25-27,Могила,48787,2,
JAM25-28,Овчи кладенец,53299,2,
JAM25-29,Окоп,53480,2,
JAM25-30,Победа,56873,2,
JAM25-31,Робово,62757,1896,
JAM25-32,Роза,62921,2,
JAM25-33,Савино,65036,1896,
JAM25-35,Скалица,66737,2,
JAM25-36,Сламино,67177,1896,
JAM25-37,Стара река,68878,1896,
JAM25-38,Тенево,72240,2,
JAM25-39,Търнава,73657,1896,
JAM25-40,Хаджидимитрово,77030,2,
JAM25-41,Ханово,77150,2,
JAM25-42,Чарган,80217,2,
JAM25-43,Болярско,05308,1896,
JAM25-44,Каравелово,36200,1896,
JAM25-45,Козарево,37681,428,
JAM25-46,Меден кладенец,47562,1896,
JAM25-47,Межда,47682,1896,
JAM25-48,Миладиновци,48101,1896,
JAM25-49,Симеоново,66456,1896,
JAM25-50,Челник,80306,1896,
JAM25-51,Коневец,38279,1896,
KNL04-05,Голям Върбовник,15457,1896,
KNL04-06,Големо село,15535,2,
KNL04-10,Мала Фуча,46262,1896,
KNL04-13,Мламолово,48711,2,
KNL04-14,Бабино,02049,1896,
KNL04-15,Долистово,21974,1896,
KNL04-16,Коркина,38635,1896,
KNL04-17,Мало село,46824,1896,
KNL05-02,Блажиево,04314,2,
KNL05-08,Слатино,67252,2,
KNL05-10,Усойка,75174,2,
KNL27-01,Бараково,02748,1896,
KNL27-03,Бураново,07065,1896,
KNL27-06,Мурсалево,49360,2,
KNL27-07,Пороминово,57830,2,
KNL27-08,Стоб,69261,2,
KNL29-01,Багренци,02138,2,
KNL29-02,Берсин,03962,1896,
KNL29-04,Богослов,04796,685,
KNL29-06,Гирчевци,14917,1896,
KNL29-09,Горна Гращица,16198,685,
KNL29-10,Грамаждано,17680,1896,
KNL29-11,Граница,17751,2,
KNL29-12,Гърляно,18352,1896,
KNL29-13,Гюешево,18455,1896,
KNL29-14,Дворище,20208,1896,
KNL29-15,Долна Гращица,22071,1896,
KNL29-17,Драговищица,23282,2,
KNL29-18,Жабокрът,29026,2,
KNL29-19,Жиленци,29386,2,
KNL29-22,Коняво,38432,2,
KNL29-23,Копиловци,38474,2,
KNL29-24,Лозно,44183,2,
KNL29-27,Вратца,48355,1896,
KNL29-28,Нови чифлик,52026,1896,
KNL29-30,Николичевци,52400,685,
KNL29-31,Пиперков чифлик,56378,2,
KNL29-34,Радловци,61457,1896,
KNL29-36,Раждавица,63536,1896,
KNL29-38,Скриняно,66891,1896,
KNL29-39,Слокощица,67461,2,
KNL29-40,Соволяно,67790,2,
KNL29-41,Стенско,69167,1896,
KNL29-42,Таваличево,72045,1896,
KNL29-43,Търновлаг,73691,1896,
KNL29-46,Шишковци,83354,2,
KNL29-47,Ябълково,87062,2,
KNL31-01,Ваксево,10050,2,
KNL31-04,Друмохар,23827,1896,
KNL31-09,Лиляч,43709,1896,
KNL31-16,Рашка Гращица,62284,1896,
KNL31-21,Четирци,81284,1896,
KNL38-02,Пастра,55539,1896,
KNL38-04,Смочево,67698,1896,
KNL41-01,Овчарци,53254,2,
KNL41-02,Ресилово,62520,2,
KNL41-03,Сапарево,65379,2,
KNL48-01,Баланово,02350,2,
KNL48-02,Бистрица,04220,2,
KNL48-03,Блатино,04354,1896,
KNL48-06,Джерман,20763,2,
KNL48-09,Крайници,39339,2,
KNL48-11,Палатово,55230,1896,
KNL48-12,Пиперево,56349,1896,
KNL48-13,Самораново,65245,2,
KNL48-14,Тополница,72758,1896,
KNL48-15,Червен брег,80491,2,
KNL48-16,Яхиново,87727,2,
KNL48-17,Дяково,24791,1896,
KRZ02-01,Ахрянско,00864,1896,
KRZ02-02,Башево,02991,2,
KRZ02-03,Бял извор,07747,1896,
KRZ02-04,Богатино,07925,1896,
KRZ02-05,Голобрад,15607,1896,
KRZ02-06,Горно Прахово,16910,2,
KRZ02-07,Гърбище,18321,1896,
KRZ02-08,Долно Прахово,22784,1896,
KRZ02-09,Еньовче,27543,1896,
KRZ02-10,Жълтуша,29605,2,
KRZ02-11,Китница,37085,1896,
KRZ02-12,Кроячево,39952,1896,
KRZ02-13,Ленище,43270,2,
KRZ02-14,Любино,44584,1896,
KRZ02-15,Търносливка,73732,1896,
KRZ02-16,Млечино,48756,1896,
KRZ02-17,Падина,55124,161,
KRZ02-18,Правдолюб,58013,1896,
KRZ02-19,Русалско,63402,1896,
KRZ02-20,Светулка,65646,1896,
KRZ02-21,Синчец,66562,2,
KRZ02-23,Сухово,70319,1896,
KRZ02-24,Седларци,70771,1896,
KRZ02-25,Брезен,77116,2,
KRZ02-26,Рибарци,54260,1896,
KRZ02-27,Боровица,80176,2,
KRZ02-28,Чубрика,81596,2,
KRZ02-29,Хромица,77487,1896,
KRZ02-30,Ябълковец,87059,2,
KRZ02-31,Чернигово,80964,1896,
KRZ02-32,Червена скала,81921,1896,
KRZ02-33,Левци,44896,1896,
KRZ02-34,Теменуга,47809,1896,
KRZ02-35,Бистроглед,04248,1896,
KRZ02-36,Търна,73897,1896,
KRZ02-37,Искра,32946,1896,
KRZ02-38,Дядовци,24788,1896,
KRZ02-39,Дедино,24880,1896,
KRZ02-40,Срънско,68597,1896,
KRZ08-01,Великденче,10389,1896,
KRZ08-02,Воденичарско,11689,2,
KRZ08-03,Генерал Гешево,14647,2,
KRZ08-04,Добринци,21525,2,
KRZ08-05,Душинково,24195,1896,
KRZ08-06,Желъдово,29180,2,
KRZ08-07,Козица,37736,1464,
KRZ08-08,Контил,38371,1896,
KRZ08-09,Мишевско,48622,1896,
KRZ08-10,Папрат,55436,1896,
KRZ08-11,Плазище,56589,1896,
KRZ08-12,Поточе,57947,1896,
KRZ08-13,Припек,58387,2,
KRZ08-14,Ридино,62654,2,
KRZ08-15,Рогозче,62846,1896,
KRZ08-16,Слънчоглед,67502,2,
KRZ08-17,Телчарка,72211,1896,
KRZ08-18,Търновци,73715,1896,
KRZ08-19,Устрен,75201,1896,
KRZ08-20,Църквица,78642,1896,
KRZ08-21,Чакалци,80128,1896,
KRZ08-22,Щерна,84019,1896,
KRZ08-23,Вълкович,12468,1896,
KRZ08-24,Илийско,32634,1896,
KRZ08-25,Казаците,35184,1896,
KRZ08-26,Купците,40676,1896,
KRZ08-27,Лебед,43178,1896,
KRZ08-28,Мрежичко,49268,1896,
KRZ08-29,Овчево,53271,1896,
KRZ08-30,Подвръх,56976,1896,
KRZ08-31,Полънец,57412,1896,
KRZ08-32,Сипец,70809,1896,
KRZ08-33,Скалина,66723,1896,
KRZ08-34,Софийци,68120,1896,
KRZ08-35,Рогозари,62801,1896,
KRZ08-37,Черешка,81935,1896,
KRZ08-38,Ямино,87388,1896,
KRZ08-39,Тютюнче,73804,1896,
KRZ14-01,Върбен,00120,2,
KRZ14-02,Бенковски,03825,2,
KRZ14-03,Вълчанка,13055,1896,
KRZ14-04,Горно Къпиново,16821,1896,
KRZ14-05,Горски извор,17138,2,
KRZ14-06,Гривяк,17871,1896,
KRZ14-07,Горно Кирково,18558,2,
KRZ14-08,Делвино,20554,660,
KRZ14-09,Джерово,20777,1896,
KRZ14-10,Добромирци,21631,1896,
KRZ14-11,Долно Къпиново,22678,660,
KRZ14-12,Домище,22928,660,
KRZ14-13,Дрангово,23577,2,
KRZ14-14,Дюлица,24743,660,
KRZ14-15,Завоя,30106,1896,
KRZ14-16,Загорски,30140,1896,
KRZ14-17,Каялоба,36748,660,
KRZ14-18,Китна,37071,1896,
KRZ14-19,Кран,39445,660,
KRZ14-20,Крилатица,39877,660,
KRZ14-21,Кукуряк,40511,1896,
KRZ14-22,Кърчовско,40988,1896,
KRZ14-23,Лозенградци,44080,1896,
KRZ14-24,Малкоч,46680,660,
KRZ14-25,Медевци,47531,1896,
KRZ14-26,Метличка,47891,1896,
KRZ14-27,Мъглене,49480,1896,
KRZ14-28,Орлица,53878,1896,
KRZ14-29,Островец,54393,660,
KRZ14-30,Пловка,56808,1896,
KRZ14-31,Подкова,57039,1896,
KRZ14-32,Пресека,58178,660,
KRZ14-33,Растник,62236,660,
KRZ14-34,Самодива,65214,1896,
KRZ14-35,Самокитка,65228,660,
KRZ14-36,Средско,68577,1896,
KRZ14-37,Старово,68953,660,
KRZ14-38,Стоманци,69482,660,
KRZ14-39,Стрижба,69866,1896,
KRZ14-40,Тихомир,72463,2,
KRZ14-41,Фотиново,76159,1896,
KRZ14-42,Чакаларово,80090,1896,
KRZ14-43,Чичево,81493,660,
KRZ14-44,Чорбаджийско,81565,2,
KRZ14-45,Шопци,83449,1896,
KRZ14-46,Шумнатица,83538,1896,
KRZ14-47,Първица,59063,1896,
KRZ14-48,Априлци,00905,1896,
KRZ14-49,Брегово,07942,1896,
KRZ14-50,Дружинци,23803,1896,
KRZ14-51,Здравчец,30675,1896,
KRZ14-52,Метличина,47888,1896,
KRZ14-53,Могиляне,48845,1896,
KRZ14-54,Янино,87415,1896,
KRZ14-55,Дедец,20496,1896,
KRZ14-56,Дрянова глава,23892,1896,
KRZ14-57,Еровете,27591,1896,
KRZ14-58,Козлево,37767,1896,
KRZ14-59,Кремен,41174,1896,
KRZ14-60,Първенци,59054,1896,
KRZ14-61,Старейшино,68895,1896,
KRZ14-62,Хаджийско,77092,1896,
KRZ14-63,Шипок,83226,1896,
KRZ15-01,Аврен,00093,2,
KRZ15-02,Багрилци,02141,660,
KRZ15-03,Бук,06906,2,
KRZ15-04,Вранско,12190,2,
KRZ15-05,Голяма Чинка,15713,1896,
KRZ15-06,Голям Девесил,15727,1896,
KRZ15-07,Голямо Каменяне,15878,660,
KRZ15-08,Горна кула,16287,1896,
KRZ15-10,Гривка,17868,1896,
KRZ15-11,Гулийка,18071,1896,
KRZ15-14,Девесилово,20403,1896,
KRZ15-15,Джанка,20732,1896,
KRZ15-16,Долна кула,22157,660,
KRZ15-17,Егрек,27036,2,
KRZ15-18,Звънарка,30538,1896,
KRZ15-19,Кандилка,36021,660,
KRZ15-20,Ковил,37558,1896,
KRZ15-21,Красино,39565,660,
KRZ15-22,Къклица,40823,660,
KRZ15-23,Лещарка,43596,660,
KRZ15-25,Луличка,44344,660,
KRZ15-26,Малко Каменяне,46601,660,
KRZ15-27,Малък Девесил,46872,2,
KRZ15-28,Метлика,47860,660,
KRZ15-29,Морянци,49103,1896,
KRZ15-30,Овчари,53206,660,
KRZ15-31,Перуника,55899,1896,
KRZ15-32,Подрумче,57062,660,
KRZ15-33,Полковник Желязово,57248,1896,
KRZ15-34,Поточница,57950,1896,
KRZ15-35,Рибино,62617,1896,
KRZ15-36,Рогач,62774,2,
KRZ15-37,Самовила,65190,1896,
KRZ15-38,Синигер,66545,660,
KRZ15-39,Сливарка,67297,660,
KRZ15-40,Стари чал,68936,1896,
KRZ15-41,Странджево,69688,1896,
KRZ15-42,Студен кладенец,70104,660,
KRZ15-43,Тинтява,72429,660,
KRZ15-44,Токачка,72610,660,
KRZ15-45,Пашинци,55614,2,
KRZ15-46,Храстово,77428,1896,
KRZ15-47,Чал,80145,660,
KRZ15-48,Черничево,81027,660,
KRZ15-49,Чернооки,81205,660,
KRZ15-50,Благун,04306,1896,
KRZ15-51,Дъждовник,24459,1896,
KRZ15-52,Орех,54821,1694,
KRZ15-53,Малка Чинка,46471,1896,
KRZ15-54,Златолист,31142,1896,
KRZ15-55,Раличево,62178,1896,
KRZ15-56,Сърнак,70559,1896,
KRZ15-57,Пелин,55751,1896,
KRZ15-58,Гулия,18085,1896,
KRZ15-59,Хисар,77267,1896,
KRZ15-60,Бараци,02751,1896,
KRZ15-61,Качулка,36717,1896,
KRZ15-62,Тополка,72730,1896,
KRZ15-64,Скалак,66716,1896,
KRZ15-65,Едрино,27680,1896,
KRZ15-66,Каменка,35849,1896,
KRZ15-67,Поточарка,57933,1896,
KRZ15-68,Бряговец,06728,1896,
KRZ15-69,Котлари,39058,1896,
KRZ15-71,Ручей,63505,1896,
KRZ16-01,Бащино,03006,660,
KRZ16-02,Бели пласт,03499,660,
KRZ16-03,Бойно,05205,1896,
KRZ16-04,Велешани,10358,660,
KRZ16-05,Висока поляна,11243,660,
KRZ16-06,Воловарци,12053,660,
KRZ16-07,Глухар,15216,2,
KRZ16-08,Горна крепост,16267,1896,
KRZ16-09,Дъждовница,24462,1896,
KRZ16-10,Енчец,27512,1896,
KRZ16-11,Жинзифово,29407,2,
KRZ16-12,Звиница,30524,1896,
KRZ16-13,Калоянци,35540,1896,
KRZ16-14,Кобиляне,37438,660,
KRZ16-15,Конево,38282,1896,
KRZ16-16,Костино,38981,1896,
KRZ16-17,Кьосево,41085,660,
KRZ16-18,Македонци,46214,1896,
KRZ16-19,Миладиново,48074,1896,
KRZ16-20,Мост,49120,1896,
KRZ16-21,Мургово,49343,660,
KRZ16-22,Ненково,51442,1896,
KRZ16-23,Опълченско,53638,1896,
KRZ16-24,Островица,54403,1896,
KRZ16-25,Пеньово,55823,1896,
KRZ16-26,Перперек,55885,1896,
KRZ16-27,Повет,56928,1896,
KRZ16-28,Прилепци,58342,660,
KRZ16-29,Рани лист,62195,1896,
KRZ16-30,Резбарци,62445,1896,
KRZ16-31,Седловина,65975,660,
KRZ16-32,Сипей,66603,1896,
KRZ16-33,Скалище,66740,1896,
KRZ16-34,Скална глава,66754,1896,
KRZ16-35,Солище,68014,1896,
KRZ16-37,Стремци,69852,558,
KRZ16-38,Черешица,80594,660,
KRZ16-39,Чилик,81362,1896,
KRZ16-40,Чифлик,81462,660,
KRZ16-41,Широко поле,83315,2,
KRZ16-43,Крайно село,39342,1896,
KRZ16-44,Звезделина,30466,2,
KRZ16-45,Соколяне,67982,558,
KRZ16-46,Три могили,73136,1896,
KRZ16-47,Царевец,78149,558,
KRZ16-48,Ястреб,87672,558,
KRZ16-49,Люляково,44700,558,
KRZ16-50,Айрово,00148,1896,
KRZ16-51,Багра,02124,1896,
KRZ16-52,Бленика,04409,1896,
KRZ16-53,Божак,04902,1896,
KRZ16-54,Болярци,05325,1896,
KRZ16-55,Брош,06567,1896,
KRZ16-56,Бяла поляна,07658,1896,
KRZ16-57,Белка,07764,1896,
KRZ16-58,Вишеград,11346,1896,
KRZ16-59,Гняздово,15268,1896,
KRZ16-60,Гъсково,18410,1896,
KRZ16-61,Долище,21991,1896,
KRZ16-62,Долна крепост,22134,1896,
KRZ16-63,Дъждино,24445,1896,
KRZ16-64,Зайчино,30260,1896,
KRZ16-65,Звезден,30475,1896,
KRZ16-66,Звънче,30586,1896,
KRZ16-67,Зелениково,30747,1896,
KRZ16-68,Зимзелен,30867,1896,
KRZ16-69,Иванци,32161,1896,
KRZ16-70,Калинка,35403,1896,
KRZ16-71,Каменарци,35732,1896,
KRZ16-72,Кокиче,37928,1896,
KRZ16-73,Кокошане,37962,1896,
KRZ16-74,Крин,39894,1896,
KRZ16-75,Крушевска,40169,1896,
KRZ16-76,Мъдрец,49521,1896,
KRZ16-77,Невестино,35136,1896,
KRZ16-78,Орешница,53816,1896,
KRZ16-79,Охлювец,54479,1896,
KRZ16-80,Панчево,55422,1896,
KRZ16-81,Пепелище,55840,1896,
KRZ16-82,Петлино,56054,1896,
KRZ16-83,Пропаст,58623,1896,
KRZ16-84,Пъдарци,58997,1896,
KRZ16-85,Рудина,63170,1896,
KRZ16-86,Сватбаре,65512,1896,
KRZ16-87,Севдалина,65890,1896,
KRZ16-88,Сестринско,66336,1896,
KRZ16-89,Скърбино,66929,1896,
KRZ16-90,Срединка,68336,1896,
KRZ16-91,Стражевци,69612,1896,
KRZ16-92,Страхил войвода,69715,1896,
KRZ16-93,Стремово,69849,1896,
KRZ16-94,Черна скала,80844,1896,
KRZ16-95,Черньовци,81267,1896,
KRZ16-96,Яребица,87494,1896,
KRZ21-01,Багрянка,02155,1449,
KRZ21-02,Балабаново,02292,1896,
KRZ21-03,Биволяне,04008,1896,
KRZ21-04,Врело,12293,1896,
KRZ21-05,Горско Дюлево,17186,1896,
KRZ21-06,Груево,17988,1896,
KRZ21-07,Гургулица,18126,1896,
KRZ21-08,Джелепско,20755,1357,
KRZ21-09,Загорско,30154,1357,
KRZ21-10,Звездел,30452,1359,
KRZ21-11,Карамфил,36350,1357,
KRZ21-12,Конче,38409,1357,
KRZ21-13,Лале,43102,1896,
KRZ21-14,Нановица,51097,2,
KRZ21-15,Неофит Бозвелиево,51473,2,
KRZ21-16,Пиявец,56575,1896,
KRZ21-17,Птичар,58757,1357,
KRZ21-18,Равен,61063,1896,
KRZ21-19,Садовица,65098,1896,
KRZ21-20,Седефче,65944,1357,
KRZ21-21,Седлари,65961,1357,
KRZ21-22,Синделци,66500,1357,
KRZ21-23,Соколино,67882,2,
KRZ21-24,Чайка,80087,1357,
KRZ21-25,Кременец,80131,1896,
KRZ21-26,Чуково,81734,1896,
KRZ21-27,Върхари,86030,1896,
KRZ21-28,Девинци,24966,1896,
KRZ21-29,Постник,57892,1357,
KRZ21-30,Ауста,00828,1358,
KRZ21-31,Пазарци,55169,1359,
KRZ21-32,Прогрес,59361,1464,
KRZ21-33,Плешинци,56767,1896,
KRZ21-35,Свобода,65797,1896,
KRZ21-38,Ралица,62147,1896,
KRZ21-39,Кос,38697,1896,
KRZ21-43,Чобанка,81517,1896,
KRZ21-44,Татул,72134,1896,
KRZ21-45,Каменец,03258,1896,
KRZ35-02,Бели вир,03410,2,
KRZ35-03,Габрово,14221,2,
KRZ35-04,Даскалово,20167,660,
KRZ35-05,Драганово,23114,1896,
KRZ35-06,Дядовско,24774,660,
KRZ35-07,Железник,29132,1896,
KRZ35-09,Житница,29461,1896,
KRZ35-10,Йончово,34117,1896,
KRZ35-11,Каняк,36066,1896,
KRZ35-12,Комунига,38176,2,
KRZ35-13,Лясково,44820,2,
KRZ35-14,Минзухар,48307,2,
KRZ35-17,Паничково,55395,2,
KRZ35-18,Патица,55568,1896,
KRZ35-19,Петелово,55960,660,
KRZ35-21,Свободиново,65841,1896,
KRZ35-22,Яворово,87165,660,
KRZ35-23,Бакалите,02261,1896,
KRZ35-24,Божурци,05089,1896,
KRZ35-25,Бостанци,05791,1896,
KRZ35-26,Бърза река,07472,1896,
KRZ35-27,Верско,10700,1896,
KRZ35-28,Водач,11613,1896,
KRZ35-29,Вождово,11805,1896,
KRZ35-30,Възел,12423,1896,
KRZ35-31,Каблешково,35047,1896,
KRZ35-32,Нови пазар,51994,1896,
KRZ35-33,Пряпорец,58731,1896,
KRZ35-34,Среднево,68415,1896,
KRZ35-35,Стражница,69657,1896,
KRZ35-36,Черна нива,80830,1896,
KRZ35-37,Ябълчени,87103,1896,
LOV02-01,Велчево,10567,1896,
LOV17-01,Горско Сливово,17244,2,
LOV17-02,Крушуна,40261,2,
LOV18-01,Абланица,00028,1896,
LOV18-02,Александрово,00299,2,
LOV18-03,Баховица,02935,2,
LOV18-05,Българене,07260,1896,
LOV18-06,Владиня,11452,1896,
LOV18-07,Горан,16002,1896,
LOV18-08,Горно Павликене,16883,1896,
LOV18-11,Дойренци,21823,2,
LOV18-12,Дренов,23666,1896,
LOV18-14,Йоглав,34093,1896,
LOV18-15,Казачево,35198,1896,
LOV18-16,Къкрина,40837,1896,
LOV18-18,Лисец,43829,2,
LOV18-19,Малиново,46396,2,
LOV18-21,Пресяка,58308,1896,
LOV18-22,Скобелево,66799,1896,
LOV18-23,Славяни,67060,2,
LOV18-24,Слатина,67218,2,
LOV18-26,Смочан,67670,1896,
LOV18-28,Радювене,69523,2,
LOV18-30,Умаревци,75112,1896,
LOV18-31,Хлевене,77311,1896,
LOV18-32,Чавдарци,80039,1896,
LOV19-01,Бежаново,03143,2,
LOV19-02,Беленци,03373,2,
LOV19-03,Дерманци,20688,2,
LOV19-04,Дъбен,24236,1896,
LOV19-05,Карлуково,36511,2,
LOV19-06,Торос,43058,2,
LOV19-07,Петревене,56099,2,
LOV19-09,Румянцево,63327,2,
LOV19-10,Тодоричене,72552,2,
LOV19-11,Ъглен,85010,2,
LOV33-01,Български извор,07357,2,
LOV33-04,Галата,14386,2,
LOV33-05,Глогово,15148,2,
LOV33-06,Гложене,15165,1378,
LOV33-07,Голям извор,15758,1378,
LOV33-08,Градежница,17419,2,
LOV33-09,Дивчовото,20996,1896,
LOV33-11,Рибарица,62579,1378,
LOV33-12,Черни Вит,80902,2,
LOV33-13,Васильово,10272,1896,
LOV33-14,Бабинци,07884,1896,
LOV34-02,Балканец,02448,1896,
LOV34-03,Бели Осъм,03486,2,
LOV34-04,Белиш,03558,1896,
LOV34-05,Борима,05445,2,
LOV34-06,Врабево,12108,1827,
LOV34-07,Голяма Желязна,15703,2,
LOV34-08,Горно Трапе,16986,1896,
LOV34-09,Гумощник,18109,1896,
LOV34-10,Дебнево,20300,2,
LOV34-12,Дълбок дол,24476,1896,
LOV34-13,Калейца,35290,2,
LOV34-15,Орешак,53707,1827,
LOV34-18,Терзийско,72309,1896,
LOV34-19,Черни Осъм,80981,1827,
LOV34-21,Шипково,83212,2,
LOV34-22,Добродан,21590,1896,
LOV34-23,Ломец,44241,1896,
LOV34-24,Старо село,70500,1896,
LOV34-25,Чифлик,81476,1896,
LOV36-03,Каленик,35331,1896,
LOV36-04,Катунец,36662,2,
LOV36-05,Кирчево,36943,2,
LOV36-06,Лесидрен,43325,2,
LOV36-07,Драгана,23060,1896,
LOV36-08,Голец,15552,1896,
